"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"1","发展","精细动作","1A：拧开泡泡瓶盖","把泡泡瓶放在桌子上说：“这是泡泡瓶”。 将瓶子递给孩子，向他简要说明去拧开盖 子。如果他不能打开，就做一下示范，然 后再次让孩子拧开盖子。","一瓶肥皂泡液","","是","2","P","孩子自己能拧开盖子。","1","E","孩子未能设法拿掉盖子，但似乎知道必要的一些动作。","0","F","孩子未能设法拿掉盖子，而且似乎也不知道必要的一些动 作，或者即使在给做示范之后也不试着去做。","","","","","",""
"1","发展","精细动作","1B：吹泡泡","给孩子示范如何吹泡泡，向他说明要照着 去做，然后把吹杆递给孩子。","一瓶肥皂泡液， 吹泡泡的杆","","是","2","P","孩子吹出了一些泡泡。","1","E","孩子虽未能设法吹出一些泡泡，但似乎知道必要的一些动 作(如把吹杆靠近嘴边、收拢嘴唇、吹气等)。","0","F","孩子未能设法吹出泡泡，而且似乎也不知道必要的一些动 作，或者即使在示范之后也不试着去做。","","","","","",""
"1","发展","知觉","1C：目光追随泡泡的移动","在实施项目1 B(吹泡泡)的过程中观察 孩子。在示范过程及孩子试图完成任务的 时候，注意他是否用目光追随泡泡的移 动。","一瓶肥皂泡液， 吹泡泡的杆","","是","2","P","孩子目光明显追随泡泡移动。","1","E","孩子对泡泡有短暂的注意。","0","F","孩子不能或者不设法用目光追随泡泡的移动。","","","","","",""
"2","病理学","感觉模式","2：不适当地察看触摸块","把三个触摸块放在孩子面前，向孩子说明 去察看这些触摸块，然后注意孩子对触摸 块的反应。","三个触摸块(皮 毛的、糙面的、 刻有凹槽的)","","是","2","A","孩子能对这些触摸块做出适当的反应(如问这是什么,或 看、摸，或拿来堆积木)。","1","M","对触摸块表现出某种过分的兴趣。","0","S","对触摸块做出不适当的反应，表现出一些古怪的或过分的 感觉兴趣(如去舔、闻、或着迷地触摸等)。","","","","","",""
"3","发展","模仿","3A：操作万花筒","给孩子示范如何看万花筒以及怎样转动 底部。向孩子说明照样去做，然后将万花 筒给他。","一个万花筒","","是","2","P","孩子能模仿这一动作去看万花筒并转动底部。","1","E","孩子设法去看，但不会看万花筒，或者不会转动底部。","0","F","孩子不能或者也不试着去看万花筒或转动底部。","","","","","",""
"3","病理学","感觉模式","3B：无利眼","在进行项目3A(操作万花筒)时，注意 孩子是否明显地展示出利眼。如果孩子用 一只眼睛靠近万花筒，然后换另一只眼 睛，就重复这项任务。即递给他万花筒， 再次向孩子说明往里面看。接着注意孩子 偏于用哪只眼睛或者不用哪只眼睛。","一个万花筒","","是","2","A","孩子如果已超过5岁，应能明显地展示利眼(一贯地使用 同一只眼)。","1","M","孩子开始显示出有利眼的倾向(有时会选择使用同一只 眼)。","0","S","孩子没有显示利眼。","","","","","",""
"4","发展","模仿","4：按呼唤铃两次","把呼唤铃放在孩子面前的桌子上，引起他 的注意(“注意我做了什么”)。快速连续 按铃两次，向孩子说明照样去做(“你来 做”或“照我刚才那样做”)。如果孩子按 铃一次或数次，就再次做示范，然后向他 说明照样按铃两次。","一个呼唤铃","","是","2","P","孩子能模仿按铃两次。","1","E","孩子能设法模仿但不正确(如按一次或数次)。如果需再次 示范才能模仿正确，亦可评为中间反应。","0","F","即使再次示范之后，孩子也不能或者也不试着去按铃。","","","","","",""
"5","发展","模仿","5A：把胶泥搓成长条","把一块胶泥分成两块，给孩子一块。示范 如何把胶泥在桌子上搓成长条，向孩子说 明照样去做。","胶泥","","是","2","P","孩子能模仿测试者，在桌子上把胶泥搓成长条。","1","E","孩子试着用类似的某种方法去搓胶泥，但未能搓成形。","0","F","孩子甚至不设法去模仿或不能用所描述的方法去搓胶泥。","","","","","",""
"5","发展","精细动作","5B：用胶泥捏成碗状","示范给孩子看如何把胶泥捏成碗状，然后 向孩子说明照着去做。","胶泥","","是","2","P","孩子显然能用胶泥捏成碗状。","1","E","孩子未能设法捏成碗状，但似乎知道必要的动作(如捏、 做成形状等)。","0","F","孩子未能设法捏成，并且似乎也不知道必要的动作，或者 不试着去做。","","","","","",""
"6","发展","模仿","6A：操纵手偶猫","拿手偶猫给孩子看，告诉他“这是猫”。 把手偶猫套在你的手上说：“我是猫咪。 喵，我要亲亲你”,然后用手偶象征性地 亲亲孩子，但并不真的去亲他。如果孩子 没有任何反应，那么就用手偶做出 叫、笑、咬、碰等声音或动作，让孩子来 参与游戏。接下来，把手偶猫递给他说： “你来当猫咪。”向他说明把手偶套在手 上，并鼓励他用手指操作手偶的头部及上 肢。","一只手偶猫","","是","2","P","孩子把手偶猫套在手上并模仿去操作它的头部和上肢。","1","E","孩子未能试着去模仿(例如能把手偶套在手上，但不用手 指去操作它，或者并不能完全把手偶套在手上)。","0","F","孩子不能或也不试着去把手偶套在手上或者用手指去操作 它。","","","","","",""
