"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"1","发展副测验","小肌肉-FM","旋开瓶盖","","瓶(有盖)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"2","发展副测验","小肌肉-FM","吹肥皂泡","","肥皂泡工具","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"3","发展副测验","认知(语言/语前)-CVP","目光追视","","皮球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"4","发展副测验","认知(语言/语前)-CVP","目光追视跨越中线","","皮球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"5","发展副测验","认知(语言/语前)-CVP","检视触觉块","","触觉块","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"6","发展副测验","模仿(视觉/动作)-VMI","使用万花筒","","万花筒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"7","发展副测验","认知(语言/语前)-CVP","表现出能够使用惯用眼","惯用眼: 左/右____","万花筒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"8","发展副测验","认知(语言/语前)-CVP","转向手摇铃声","","手摇铃","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"9","发展副测验","模仿(视觉/动作)-VMI","模仿按动响铃2次","","响铃","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"10","发展副测验","小肌肉-FM","手指插入胶泥并做出凹位","","胶泥","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"11","发展副测验","小肌肉-FM","抓握竹棒","","竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"12","发展副测验","模仿(视觉/动作)-VMI","听生日歌假装吹蜡烛","","蜡烛(假)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"13","发展副测验","模仿(视觉/动作)-VMI","享受音乐","","音乐播放器","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"14","发展副测验","小肌肉-FM","搓胶泥条","","胶泥","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"15","发展副测验","小肌肉-FM","操控手偶","","手偶","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"16","发展副测验","小肌肉-FM","利用手偶模仿日常动作","","手偶","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"17","发展副测验","语言表达-EL","指出手偶的3个身体部位","头____\n头发____\n双眼____\n鼻____\n口____\n身____\n腳____","手偶","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"18","发展副测验","语言表达-EL","指出3个自己的身体部位","眼____\n耳____\n鼻____\n口____\n身____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"19","发展副测验","语言表达-EL","使用两个手偶演出故事","","手偶×2","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"20","行为副测验","社交互动-SR","与手偶作假想游戏","","手偶","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"21","发展副测验","认知(语言/语前)-CVP","指示出3块拼块的正确位置","第1次尝试:____\n第2次尝试:____","形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"22","发展副测验","认知(语言/语前)-CVP","完成形状拼板","自行完成/部分示范/全部示范","形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
